Comportamiento,Topology1,Topology2,Topology3,Topology1_Labels,Topology2_Labels,Topology3_Labels
D,2,2,2,D,D,D
D,2,2,2,D,D,D
O,10,10,7,NV,NV,LD
D,2,2,2,D,D,D
D,2,2,2,D,D,D
D,2,2,2,D,D,D
LD,11,10,10,O,NV,NV
D,2,2,2,D,D,D
D,2,2,2,D,D,D
NV,3,3,3,E,E,E
D,2,2,2,D,D,D
D,2,2,2,D,D,D
D,2,2,2,D,D,D
D,2,2,2,D,D,D
LI,8,10,8,LI,NV,LI
D,2,2,2,D,D,D
D,2,2,2,D,D,D
D,2,2,2,D,D,D
E,3,3,2,E,E,D
AA,2,2,3,D,D,E
NV,2,2,2,D,D,D
D,2,2,2,D,D,D
D,2,2,2,D,D,D
D,2,2,2,D,D,D
D,2,2,2,D,D,D
D,2,2,2,D,D,D
D,2,2,2,D,D,D
D,2,2,2,D,D,D
D,2,2,2,D,D,D
IM,2,2,2,D,D,D
D,2,2,2,D,D,D
D,2,2,2,D,D,D
AA,3,3,3,E,E,E
D,2,2,2,D,D,D
E,10,10,3,NV,NV,E
D,2,2,2,D,D,D
D,2,2,2,D,D,D
E,3,3,3,E,E,E
D,2,2,2,D,D,D
D,2,2,2,D,D,D
D,2,2,2,D,D,D
E,3,3,3,E,E,E
D,2,2,2,D,D,D
D,2,2,2,D,D,D
O,7,10,10,LD,NV,NV
O,3,3,3,E,E,E
D,2,2,2,D,D,D
E,2,2,2,D,D,D
E,3,3,3,E,E,E
D,2,2,2,D,D,D
D,2,2,2,D,D,D
NV,3,3,3,E,E,E
LA,10,10,10,NV,NV,NV
D,2,2,2,D,D,D
D,2,2,2,D,D,D
NV,3,5,5,E,L,L
D,2,2,2,D,D,D
D,2,2,2,D,D,D
D,2,2,2,D,D,D
D,2,2,2,D,D,D
D,2,2,2,D,D,D
D,2,2,2,D,D,D
L,5,3,3,L,E,E
O,2,2,3,D,D,E
D,2,2,2,D,D,D
D,2,2,2,D,D,D
D,2,2,2,D,D,D
E,3,5,5,E,L,L
E,3,3,3,E,E,E
D,2,2,2,D,D,D
D,2,2,2,D,D,D
D,2,2,2,D,D,D
D,2,2,2,D,D,D
D,2,2,2,D,D,D
NV,5,5,5,L,L,L
D,2,2,2,D,D,D
D,2,2,2,D,D,D
D,2,2,2,D,D,D
E,2,2,2,D,D,D
D,2,2,2,D,D,D
AL,2,2,2,D,D,D
D,2,2,2,D,D,D
D,2,2,2,D,D,D
LR,9,9,9,LR,LR,LR
D,2,2,2,D,D,D
NV,10,10,3,NV,NV,E
D,2,2,2,D,D,D
E,3,3,3,E,E,E
LA,10,10,10,NV,NV,NV
D,2,2,2,D,D,D
D,2,2,2,D,D,D
D,2,2,2,D,D,D
D,2,2,2,D,D,D
D,2,2,2,D,D,D
D,2,2,2,D,D,D
D,2,2,2,D,D,D
D,2,2,2,D,D,D
D,2,2,2,D,D,D
D,2,2,2,D,D,D
D,2,2,2,D,D,D
L,9,5,9,LR,L,LR
LR,5,9,5,L,LR,L
D,2,2,2,D,D,D
D,2,2,2,D,D,D
D,2,2,2,D,D,D
D,3,3,3,E,E,E
D,2,2,2,D,D,D
D,2,2,2,D,D,D
O,2,2,2,D,D,D
D,2,2,2,D,D,D
D,2,2,2,D,D,D
D,2,2,2,D,D,D
LI,3,10,8,E,NV,LI
LR,5,3,5,L,E,L
D,2,2,2,D,D,D
D,2,2,2,D,D,D
D,0,0,0,AA,AA,AA
D,2,2,2,D,D,D
D,2,2,2,D,D,D
D,2,2,2,D,D,D
NV,10,10,3,NV,NV,E
D,2,2,2,D,D,D
AA,0,3,3,AA,E,E
D,2,2,2,D,D,D
D,2,2,2,D,D,D
D,2,2,2,D,D,D
D,2,2,2,D,D,D
E,2,2,2,D,D,D
D,2,2,2,D,D,D
D,2,2,2,D,D,D
D,2,2,2,D,D,D
D,2,2,2,D,D,D
